Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
135843375926,UNICEF Norge,UNICEF Norge,6497,14
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,5129,72
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,2410,4
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,1023,35
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,578,11
83499305740,Tekna – Teknisk-naturvitenskapelig forening,Tekna,523,1
120374971332864,Kagge Forlag,Kagge Forlag,492,2
20468812735,LO,LO,407,10
58473863651,Amnesty International Norway,Amnesty International Norge,381,1
102203325950193,Ingvild Lemme Kristiansen,Stendi,366,6
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,336,2
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,298,7
371106536283235,DAG OG TID,Dag og Tid AS,247,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,239,1
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,232,2
156545564365962,Stavanger Arbeiderparti,Stavanger Arbeiderparti,193,1
111322125898812,Filter Nyheter,Filter Nyheter,185,4
103416468959918,UkrainasFrihetshjelp.no,Kristen Tinius Torp,182,3
156202914404133,Minerva,Mediehuset Minerva,173,1
21967399403,Cappelen Damm,Cappelen Damm,173,2
227438343945838,Forum for utvikling og miljø,Forum for utvikling og miljø,156,2
33483001033,SV - Sosialistisk Venstreparti,SV - Sosialistisk Venstreparti,152,6
107698750731756,Biogass Norge,Dag Tynes,149,1
329804540373370,Vestfold og Telemark fylkeskommune,Vestfold og Telemark fylkeskommune,134,1
257426737618887,Novi Stiftelsen,Stiftelsen Partners Norge,121,1
110662521660603,Ordførerkandidat Kenny Rettore,Guttorm Stangeland,120,3
112631767587663,Meninger24,Meninger24,112,3
128566103830426,Civita,Civita AS,104,1
105939782037295,Altinget.no,Altinget AS,104,2
58345093445,Natur og Ungdom,Natur og Ungdom,104,1
647021275725216,Nancy Hansson Gogstad,Lørenskog Sosialistisk Venstreparti,101,1
126448980866214,Klassekampen,Klassekampen AS,≤100,1
100838348009440,Advokat Thomas Andrews,Thomas Andrews,≤100,2
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),≤100,2
53828343371,Epilepsiforbundet,Epilepsiforbundet,≤100,1
185015154921379,Cappelen Damm Akademisk,Cappelen Damm AS,≤100,1
100168202468850,Ordfører Siri Martinsen,Fredrikstad Arbeiderparti,≤100,1
772203719475318,Oslo Arbeidersamfunn,Kasper Silkoset Syvertsen,≤100,1
874166835935733,Gyldendal Videregående,Gyldendal Undervisning,≤100,1
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100,4
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,≤100,5
2869351156469363,Tonje Lavik - FrP,Tonje Lavik,≤100,2
267093316643456,Oslo Venstre,Oslo Venstre,≤100,1
1281475135310961,Sissel Knutsen Hegdal - ordførerkandidat Høyre,Sissel Knutsen Hegdal,≤100,2
857285947695294,Lars Petter Solås - FrP,Lars Solås,≤100,2
115482648477106,Sølvberget bibliotek og kulturhus,Sølvberget bibliotek og kulturhus,≤100,2
1496585820630164,Sarpsborg Høyre,Sarpsborg Høyre,≤100,1
198748346812235,Drammen Venstre,Drammen Venstre,≤100,1
764891286856218,Porsgrunn Arbeiderparti,Stig Kolbjørnsen,≤100,1
101936732006615,Naturvernforbundet i Ås,Naturvernforbundet i Ås,≤100,1
554402991429048,Den norske kirke i Fredrikstad,These ads ran without a disclaimer,≤100,5
693936813951302,SALT art & music,SALT art & music,≤100,1
299518093440216,Fredrikstad Arbeiderparti,Fredrikstad Arbeiderparti,≤100,1
367798489898591,Tønsberg Arbeiderparti,Eivind Yrjan Stamnes,≤100,1
106060042300827,Ann-Kristin Moldjord,Ann-Kristin Moldjord,≤100,1
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100,1
103642311168469,Børre St. Børresen - samfunnsengasjert,Open-eye-Open-mind,≤100,1
291789484748906,Senter for hav og Arktis,Senter for hav og Arktis,≤100,1
100885889429302,Verdinytt,Verdinytt AS,≤100,1
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,≤100,2
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,≤100,1
104925066225779,Rogaland FrP,Rogaland FrP,≤100,1
112012974739174,Evren Ünal - By og Fylkesvalget Kristiansand Agder MDG 2023,Evren Ünal,≤100,1
588928924452449,Gjøvik Arbeiderparti,Bjørn Stenvold,≤100,1
1899805196916618,LO Rogaland,LO,≤100,1
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,≤100,1
157932564240522,Lørenskog FrP,Lørenskog FrP,≤100,1
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,≤100,1
459939394148243,Nord-Odal Høyre,Simen Ellingsen,≤100,1
458498917663704,IKKE kjør i fylla,These ads ran without a disclaimer,≤100,1
718942011483190,Aftenposten Historie,Aftenposten,≤100,1
446773845399934,Porsgrunns Dagblad,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,1
1489109164705833,Kystopprøret - Gjenreis kystnorge,These ads ran without a disclaimer,≤100,1
1608590482799968,Bare Flyt,Bare Flyt,≤100,3
103503548827625,Diversify Collective,These ads ran without a disclaimer,≤100,1
329215143807272,Trondheim Høyre,Trondheim Høyre,≤100,1
103843752435966,Morehackz - The R Page,These ads ran without a disclaimer,≤100,2
105915229076498,Rruz Design & Illustration,These ads ran without a disclaimer,≤100,1
130456876990360,European Youth,These ads ran without a disclaimer,≤100,1
112749448851,Coca-Cola Europacific Partners,These ads ran without a disclaimer,≤100,1
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,2
105411962299479,AEF,These ads ran without a disclaimer,≤100,1
112861661599616,militarylegacy,These ads ran without a disclaimer,≤100,1
104274628315951,ISLAH,These ads ran without a disclaimer,≤100,1
101304435646725,Элитная недвижимость в Москве,These ads ran without a disclaimer,≤100,2
110962101793098,nasimazadi2022,These ads ran without a disclaimer,≤100,1
