Location name,Amount spent (EUR)
Attica (region),16257
Central Greece (region),1171
Central Macedonia,6577
Crete,2478
Eastern Macedonia and Thrace,1597
Epirus (region),710
Ionian Islands (region),565
Northern Aegean,442
Peloponnese (region),1258
Southern Aegean,1290
Thessaly,2428
Unknown,179
Western Greece,2238
Western Macedonia,591
