Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
11870725774,Greenpeace Aotearoa,Greenpeace NZ,953,9
116362033529,Amnesty International New Zealand,Amnesty International Aotearoa New Zealand,835,4
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,731,108
173912362663564,Electoral Commission NZ,Electoral Commission NZ,710,6
103881760966661,Gen Less,Energy Efficiency & Conservation Authority,565,6
689146908145006,Free Speech Union,Free Speech Union,506,5
175954932952,WWF New Zealand,WWF New Zealand,504,7
183355881680015,New Zealand National Party,New Zealand National Party,334,24
134871109877812,Save the Children New Zealand,Save the Children New Zealand,270,44
92043134118,ACT,ACT,266,9
10779081371,Green Party of Aotearoa New Zealand,The NZ Parliamentary Service on behalf of the Green Party,256,17
117997265415910,James McDowall MP,ACT,172,8
337477311451,New Zealand Labour Party,"NZ Labour Party, Auth by R Salmond, 160 Willis St WLG",130,6
667708756580711,Matt Doocey MP,Parliamentary Service,114,1
174718875908390,Westpac NZ,Westpac New Zealand,≤100,1
164979016849070,Te Herenga Waka—Wellington Uni,Te Herenga Waka—Wellington Uni,≤100,5
111518076963780,Nicola Grigg MP,Parliamentary Services NZ on behalf of Nicola Grigg MP,≤100,2
100281782873297,Aged Care Matters,Aged Care Matters,≤100,4
424806334290059,New Zealand Taxpayers' Union,New Zealand Taxpayers' Union,≤100,52
451907931984042,Speak Up For Women NZ,Speak Up For Women NZ,≤100,1
137540437632,Forest & Bird,Forest & Bird,≤100,2
212702408795156,Beautification Trust,Beautification Trust,≤100,2
448287635297180,Otago Regional Council,Otago Regional Council,≤100,2
1281262645251755,Hobson's Pledge,Hobson's Pledge,≤100,15
19648092895,Tearfund New Zealand,Tearfund New Zealand,≤100,2
114731636915763,Simon Court MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,6
209221986221719,Nicola Willis MP,Parliamentary Service on behalf of Nicola Willis MP,≤100,1
110909661534199,The Common Room NZ,The Common Room NZ,≤100,2
102762347995497,TOP Candidate Naomi Pocock,Naomi Pocock,≤100,13
110974094005509,Nicole McKee MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,9
515754408526607,Andrew Bayly MP,Andrew Bayly MP,≤100,2
107937407609923,Arena Williams MP,"NZ Labour Party, Auth by R Salmond, 160 Willis St WLG",≤100,1
100604429535529,Georgie Dansey for Hamilton West,"NZ Labour Party, Auth by R Salmond, 160 Willis St, WLG",≤100,4
245745028798233,Toyota New Zealand,These ads ran without a disclaimer,≤100,1
