Location name,Amount spent (AUD)
Australian Capital Territory,722
Jervis Bay Territory,≤100
New South Wales,9532
Northern Territory,197
Queensland,5209
South Australia,1822
Tasmania,703
Unknown,≤100
Victoria,5971
Western Australia,2839
