Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
102641398601897,Octafx world,These ads ran without a disclaimer,308912,1
1567614746869354,Daily Shopping,Awotidebe Oluwaseyifunmi,12190,3
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,6432,4
568487499838700,Joshua Iginla Ministries,These ads ran without a disclaimer,5994,1
123838944328164,Rethink Nigeria,Rethink Nigeria,4707,1
103333362526988,The Eastern Umbrella Forum,The Eastern Umbrella Forum,4263,1
100202924924063,Page 36,Page 36,4165,11
605599926578140,Distinguished Senator Yakubu Oseni Media Crew,Hamzat Amoto Muhammedjamiu,3540,1
654180731859809,T-Police,T-Police,3300,1
1572089193014869,DUMO Lulu-Briggs Recommended,DUMO Lulu-Briggs Recommended,3227,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,2933,2
104238252286926,Nwankwo Promise Chibuzo,Mboo Augustine Uchenna,2894,4
105675572013946,Sapele Mirror News,Oghenebrorhie Okotie,2455,2
101229044647022,Senator Mohammed Sani Musa,Suleiman Sani Musa,2039,4
103937487661032,Readytoleadafrica,ReadyToLeadAfrica,1893,2
111180371693748,Rt.Hon Peter Odey - Cross River State APC Deputy Governor Candidate,Prince Charles Ekanem Iv,1313,2
878141452335886,The Hope For Nigeria,Kerry Kenu,1262,1
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,1238,1
1027213924027046,Celebrity  Properties,These ads ran without a disclaimer,1129,1
606800679765375,Voice2RepNg,Accountability Lab Nigeria,1011,1
100383154696053,Lukaconfu vocal,Lukaconfu vocal,983,4
101174669207027,H.E Amb Dr. Johnny Metchie,H.E Amb Dr. Johnny Metchie,981,2
111989374734629,Akarachi Campaign Organization,Akarachi Campaign Organziation,973,1
104680361991427,Hon. Mojisolaoluwa Alli-Macaulay,Omayeli Christabell Amorighoye,912,1
1617885935139653,The Liberator,The Liberator,894,1
102169824695398,Rero TV,Rero TV,885,5
110043258402172,Hon. Habibu Abubakar Sambo -Imamu,Habibu Sambo Abubakar,831,1
128728490537179,Asuquo Ekpenyong,Prince Charles Ekanem Iv,723,1
1924396441113309,Onogwu Muhammed,Martins Onuorah,658,1
103018869332378,BantuPage,Ikechukwu Orji,577,1
103056309161921,Meksmedia,Meksmedia,479,1
203283343044987,United Youths of Naija,United Youths of Naija,472,1
108409741002988,Prince Hadi Sani; SA to Ogun State Governor on Inter-Ethnic Affairs.,Adu Ifeoluwa,461,1
106064468251927,Community Initiatives to Promote Peace,ARDA DCI,461,1
169005873659020,Gombe Daily Post,Advertise With Us,420,1
101953642559043,NewsWorld,newsworld,382,1
101813086045206,Hon. Suleiman Abdulrazak Sariki,Hon. Suleiman Abdulrazak Sariki,360,1
115798340116713,Ogouniquetv,Ogouniquetv,305,1
102406562561015,Mallam Umar Namadi,Muttaka Turaki Gujungu,300,1
100951662795304,"Learn, Grow, and Business",These ads ran without a disclaimer,231,1
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,176,1
106161605524534,De'MACKSON,These ads ran without a disclaimer,176,1
101712909288229,Threadandtrend News&Tweets,These ads ran without a disclaimer,172,1
382672421842823,Africa International Housing Show,Africa International Housing Show,166,1
100182385184951,"Office of the  Spokesman, Ijaw Youth Council Worldwide",These ads ran without a disclaimer,144,2
112280008145991,Total Restoration Team - TRT,Total Restoration Team - TRT,115,1
417064231697239,Al-Amin Gamandi,Aminu Gamandi,≤100,1
109366762070994,Emodah,Emodah,≤100,1
104952399015738,homesteadnigeria,These ads ran without a disclaimer,≤100,1
175432163048459,Minister Adofu Victor,These ads ran without a disclaimer,≤100,1
105501525214110,NFL Africa,These ads ran without a disclaimer,≤100,1
526079487415848,XCMG Group,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
105558698809934,SRNE Solar,These ads ran without a disclaimer,≤100,1
123546032572,Eppendorf Group,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
1500408980220264,Emmanuel Addo,These ads ran without a disclaimer,≤100,1
215714475196786,KATA KATA Cartoon,These ads ran without a disclaimer,≤100,1
145752338944033,Air China,These ads ran without a disclaimer,≤100,1
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,1
469201610080869,Binance,These ads ran without a disclaimer,≤100,1
723826694319605,MITx Courses,These ads ran without a disclaimer,≤100,1
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
102204844701925,الشرق للأخبار - سوريا,These ads ran without a disclaimer,≤100,1
275892502847073,Cinema Culture Society of Ghana,These ads ran without a disclaimer,≤100,1
