Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
776079922494181,Apáti Bence hivatalos oldala,Megafon,916758,4
224274995688487,Bohár Dániel - Riporter,Megafon,520465,6
503614639975773,Trombitás Kristóf,Megafon,457417,6
118152054556475,Deák Dániel,Megafon,327242,6
102414628645144,Korondy Tamás,Megafon,292888,3
543788999005363,ORIGO,Mediaworks Hungary Zrt.,107443,12
1534911313439123,Ripost,Ripost,87735,8
109414841321682,Magyar Falu Program,Miniszterelnökség,78612,11
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,72270,9
248172631940,Mandiner,Mediaworks Hungary Zrt.,71209,5
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,68241,7
278117815576023,EU Justice and Consumers,EU Justice and Consumers,67103,10
191461774219575,hirado.hu,hirado.hu,63311,15
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,58820,5
294815374340858,Donáth Anna,Donáth Anna - Momentum,55621,1
451844608304228,Metropol,Metropol,29943,4
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,28206,6
178362315106,European Parliament,European Parliament,24105,6
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,23352,5
104359131558815,KonVerzió,Megafon,22826,2
286759004682537,Tranzit,Kommentár Alapítvány,22175,2
594088897289853,Alapjogokért Központ,Alapjogokért Központ,18846,13
408924035951553,Körforrás,Körforrás,16589,10
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,16290,62
626532047411556,Bal lator a XVIII. kerületben,Ballator,16040,3
109528965046103,MCC Feszt,Mathias Corvinus Collegium,15880,7
193702058028595,Lázár János,Lázár János hivatalos oldala,15287,2
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,14463,12
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,14362,3
345496092135627,Hír TV,Mediaworks Hungary Zrt.,14185,2
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,14083,6
115388925185513,Magyar Szocialista Párt,MSZP,13983,2
265672590604606,Makronóm.Blog,Makronóm.Blog,12894,9
131283758531,HVG,HVG Kiadó ZRt.,12756,9
851784814892644,Simicskó István,KDNP frakció,12374,3
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,11748,3
162344823835042,atlatszo.hu,atlatszo.hu,11403,6
447204268797621,RTL.hu,RTL.HU,11253,31
1237616006358749,Kékes Online,Kékes Online,10940,17
108248022589754,Bosch Magyarország,Bosch Magyarország,10867,8
358624704555983,Dr. Hörcsik Richárd,Fidesz,10609,8
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,10556,11
193640214178356,Gyopáros Alpár,Gyopáros Alpár,10329,3
225062677512591,L'Oréal Paris,These ads ran without a disclaimer,10297,1
108995848702971,Frankó,Mondjuk a frankót,9783,13
287770891404,Jobbik-Konzervatívok,Jobbik Magyarországért Mozgalom,9470,3
76748198685,Budapest Pride,Budapest Pride,9425,4
100401808007704,EzaLényeg.hu,EzaLényeg.hu,8368,16
400229417263044,Hartaházi Miklós Pestszentimre,Jobbik,8345,3
203158929827,Beol.hu Békés vármegyei online,Mediaworks Hungary Zrt.,8338,2
276554411147,Szabolcs Online,Mediaworks Hungary Zrt.,8086,2
