Location name,Amount spent (NZD)
Auckland Region,1806
Bay of Plenty Region,298
Canterbury,613
Gisborne District,≤100
Hawke's Bay,163
Manawatu-Wanganui,225
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,201
Otago,219
Southland,≤100
Taranaki,110
Tasman District,≤100
Unknown,≤100
Waikato,421
Wellington Region,398
West Coast,≤100
