Location name,Amount spent (EGP)
Al Sharqia Governorate,3906
Alexandria Governorate,790
Aswan Governorate,144
Asyut Governorate,358
Beheira Governorate,536
Beni Suef Governorate,266
Cairo Governorate,2957
Dakahlia Governorate,1049
Damietta Governorate,270
Faiyum Governorate,222
Gharbia Governorate,734
Giza Governorate,1069
Ismailia Governorate,575
Kafr el-Sheikh Governorate,425
Luxor Governorate,105
Matrouh Governorate,≤100
Minya Governorate,441
Monufia Governorate,514
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,231
Qalyubia Governorate,1106
Qena Governorate,271
Red Sea Governorate,109
Sohag Governorate,434
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
