Location name,Amount spent (MXN)
Aguascalientes,22456
Baja California,91206
Baja California Sur,20532
Campeche,39889
Chiapas,86127
Chihuahua,64317
Coahuila de Zaragoza,55290
Colima,23564
Distrito Federal,314736
Durango,20574
Guanajuato,110297
Guerrero,42959
Hidalgo,41028
Jalisco,177370
Michoacán de Ocampo,76815
Morelos,78114
Nayarit,25045
Nuevo León,323039
Oaxaca,42862
Puebla,155135
Querétaro Arteaga,50300
Quintana Roo,90479
San Luis Potosi,49954
Sinaloa,42416
Sonora,71713
State of Mexico,177682
Tabasco,35677
Tamaulipas,91397
Tlaxcala,20881
Unknown,≤100
Veracruz,123540
Yucatán,73847
Zacatecas,24041
