Location name,Amount spent (INR)
Andaman and Nicobar Islands,543
Andhra Pradesh,119293
Arunachal Pradesh,812
Assam,15320
Bihar,45594
Chandigarh,2951
Chhattisgarh,34581
Dadra and Nagar Haveli,955
Delhi,45934
Goa,3499
Gujarat,66313
Haryana,37340
Himachal Pradesh,13041
Jammu and Kashmir,10348
Jharkhand,18574
Karnataka,401739
Kerala,15146
Lakshadweep,≤100
Madhya Pradesh,69660
Maharashtra,163981
Manipur,2882
Meghalaya,6297
Mizoram,478
Nagaland,1251
Odisha,14341
Puducherry,1246
Punjab region,43291
Rajasthan,162806
Sikkim,1296
Tamil Nadu,35996
Telangana,69244
Tripura,2096
Unknown,≤100
Uttar Pradesh,144361
Uttarakhand,13725
West Bengal,48752
