Location name,Amount spent (TRY)
Adana Province,4004
Adıyaman Province,332
Afyonkarahisar Province,2098
Aksaray Province,1799
Amasya Province,9250
Ankara Province,13774
Antalya Province,2776
Ardahan Province,≤100
Artvin Province,165
Aydın Province,1009
Ağrı Province,133
Balıkesir Province,4582
Bartın Province,190
Batman Province,307
Bayburt Province,≤100
Bilecik Province,197
Bingöl Province,≤100
Bitlis Province,105
Bolu Province,213
Burdur Province,181
Bursa Province,2385
Denizli Province,900
Diyarbakır Province,683
Düzce Province,2045
Edirne Province,549
Elazığ Province,293
Erzincan Province,116
Erzurum Province,266
Eskişehir Province,2206
Gaziantep Province,1471
Giresun Province,658
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1714
Isparta Province,371
Istanbul Province,48590
Iğdır Province,≤100
Kahramanmaraş Province,780
Karabük Province,325
Karaman Province,437
Kars Province,101
Kastamonu Province,2824
Kayseri Province,983
Kilis Province,≤100
Kocaeli Province,854
Konya Province,1856
Kütahya Province,572
Kırklareli Province,198
Kırıkkale Province,1421
Kırşehir Province,147
Malatya Province,362
Manisa Province,1566
Mardin Province,338
Mersin Province,12813
Muğla Province,659
Muş Province,≤100
Nevşehir Province,307
Niğde Province,480
Ordu Province,868
Osmaniye Province,628
Rize Province,399
Sakarya Province,1149
Samsun Province,1856
Siirt Province,≤100
Sinop Province,915
Sivas Province,1017
Tekirdağ Province,2841
Tokat Province,7004
Trabzon Province,2232
Tunceli Province,≤100
Unknown,≤100
Uşak Province,1497
Van Province,291
Yalova Province,422
Yozgat Province,413
Zonguldak Province,1005
Çanakkale Province,3376
Çankırı Province,246
Çorum Province,1302
İzmir Province,4688
Şanlıurfa Province,1670
Şırnak Province,204
