Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
939050246112788,Facebook Public Affairs,Meta,15377,24
5794733873,David Suzuki Foundation,David Suzuki Foundation,3071,70
104386908631938,Pathways Alliance,Pathways Alliance,2772,6
95938536190,Shoppers Drug Mart,Shoppers Drug Mart,2709,8
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,2437,18
103805636333615,Quality Canadian Milk - Lait canadien de qualité,These ads ran without a disclaimer,2125,1
230448456985193,Elections Ontario,Elections Ontario,2029,14
303473312998028,FedEx,FedEx,2025,4
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),1858,24
261752512263,Canadian Red Cross,Canadian Red Cross,1708,18
121222984568561,Amnesty International Canada,Amnesty International Canada,1211,80
367773226675582,The Home Depot,The Home Depot,1194,5
27321532378,Pierre Poilievre,Conservative Party of Canada - Parti conservateur du Canada,1187,6
180862678644381,Ontario NDP,Ontario NDP,1114,49
107385241806,Plan International Canada,Plan International Canada,1062,44
113297740077607,Canadian Energy Centre,Canadian Energy Centre,1050,111
154462904588700,Enbridge Gas,Enbridge Gas,971,82
185083894875909,Pathways to Education Canada / Passeport pour ma réussite Canada,Pathways to Education Canada,940,32
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,797,94
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,718,62
106917558391358,Alliance nouvelles voies,Pathways Alliance,715,2
139449499417715,Pharmaprix,Pharmaprix,706,8
1097840090260804,National Police Federation,National Police Federation,650,52
281999881613,World Vision Canada,World Vision Canada,591,9
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,562,40
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,555,38
103947395932025,mstrishaaa,mstrishaaa,531,3
177004795666755,Manitoba Government,Manitoba Government,479,15
504061526642471,Ontario Power Generation,Ontario Power Generation,477,4
453724058039992,viaSport British Columbia,viaSport British Columbia,471,27
101347089679547,Andrea Hazell,Andrea Hazell Campaign,460,9
203485052997041,Hospital Employees' Union,Hospital Employees' Union,436,12
114849617772737,Care2 Canada,Press Pause Collective,434,10
202220023130891,Bell Canada,Bell Canada,431,2
283487578481273,Énergir,Énergir,383,15
31912359596,University of Saskatchewan,University of Saskatchewan,369,13
114943114838621,Fuel Forward,Canadian Fuels Association,329,38
1533253713597302,Elisabeth Léger,Elisabeth Léger,323,4
152467601467262,BMO Groupe financier,BMO Groupe financier,318,6
19750184960,Greenpeace Canada,Greenpeace Canada,316,61
186266941387011,BMO Financial Group,BMO Financial Group,301,1
123235041462,The Fraser Institute,Fraser Institute,294,18
405377872902754,Canada Action,Canada Action,293,26
143249880633,World Animal Protection Canada,World Animal Protection Canada,289,20
633812813408377,Elections Canada,Elections Canada,286,8
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,277,8
35715544220,Stand.earth,Stand.earth,257,16
612093308848274,Port of Vancouver,Vancouver Fraser Port Authority,249,2
115835521825983,UNHCR Canada,UNHCR Canada,245,24
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,242,49
10633250963,Save the Children Canada,Save the Children Canada,242,25
102862259754198,MS.ThingsIsee,MS.ThingsIsee,228,4
107756318982458,Sean Webster,Kanata-Carleton PC Riding Association,226,10
52543970197,Environmental Defence Canada,Environmental Defence,224,7
153447518036926,Kiehl's,These ads ran without a disclaimer,216,1
