Location name,Amount spent (HUF)
Baranya County,119680
Borsod-Abaúj-Zemplén County,161078
Budapest,621530
Bács-Kiskun County,146746
Békés County,94510
Csongrád County,153167
Fejér County,126332
Győr-Moson-Sopron County,127104
Hajdú-Bihar County,140851
Heves County,127833
Jász-Nagykun-Szolnok County,198631
Komárom-Esztergom County,88815
Nógrád County,54480
Pest County,375515
Somogy County,87821
Szabolcs-Szatmár-Bereg County,127941
Tolna County,72287
Unknown,≤100
Vas County,72100
Veszprém County,91265
Zala County,77814
