Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
100112745687674,Creemos Alianza Ciudadana,an advertiser in Venezuela,35159990,9
155439457852149,Henrique Capriles Radonski,an advertiser in Venezuela,25500000,6
564188034075673,Roberto Enriquez,an advertiser in Venezuela,25250000,2
371319006838525,Juan Soto,These ads ran without a disclaimer,3229999,2
333721726763601,Darwin Gonzalez,an advertiser in Venezuela,2500000,2
152914224736727,Banco Mundial,These ads ran without a disclaimer,412500,1
106148639105580,,These ads ran without a disclaimer,250000,1
101375582509907,Juan Barahona,These ads ran without a disclaimer,247500,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,8088,1
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,3505,1
121920741157559,Real Valladolid C.F. S.A.D,These ads ran without a disclaimer,≤100,3
101351691906645,The Primary Market - News,These ads ran without a disclaimer,≤100,2
315603771494,Milaap,These ads ran without a disclaimer,≤100,2
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
103497027790225,Fonos,These ads ran without a disclaimer,≤100,1
105018298224232,Sungtaz world,These ads ran without a disclaimer,≤100,1
2146503158790969,Let's Help International,These ads ran without a disclaimer,≤100,1
103393035778315,Alotofstylewe.com,These ads ran without a disclaimer,≤100,3
