Location name,Amount spent (IDR)
Aceh,1155729
Bali,2092953
Bangka–Belitung Islands,684137
Banten,2490244
Bengkulu,1014222
Central Java,9675952
Central Kalimantan,972702
Central Sulawesi,1121105
East Java,9209877
East Kalimantan,2066443
East Nusa Tenggara,1525116
Gorontalo,882560
Jakarta,13472150
Jambi,1121213
Lampung,1648711
Maluku,713125
North Kalimantan,627857
North Maluku,664733
North Sulawesi,1731311
North Sumatra,3943465
Papua (province),894690
Riau,2484188
Riau Islands Province,1219631
South Kalimantan,1261171
South Sulawesi,3249412
South Sumatra,1872973
Southeast Sulawesi,955791
Special Region of Yogyakarta,1335287
Unknown,13298
West Java,8776760
West Kalimantan,1687323
West Nusa Tenggara,1331863
West Papua,610406
West Sulawesi,739427
West Sumatra,1616177
