Location name,Amount spent (EUR)
Alsace,557
Aquitaine,1211
Auvergne,348
Basse-Normandie,405
Bourgogne,482
Bretagne,988
Centre,652
Champagne-Ardenne,351
Corse,124
Franche-Comté,291
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,537
Languedoc-Roussillon,1015
Limousin,192
Lorraine,623
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,901
New Caledonia,≤100
Nord-Pas-de-Calais,1167
Pays de la Loire,1253
Picardie,508
Poitou-Charentes,509
Provence-Alpes-Côte d'Azur,1972
Reunion Island,≤100
Rhône-Alpes,1924
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3935
