Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
958104594263358,Alcaldía Cuajimalpa de Morelos,Alcaldía Cuajimalpa de Morelos,90999,64
122166991148783,ICV-NL,ICVNL,43798,4
384214801745089,Samuel García,Samuel García,41359,13
209770450386,El Gobierno de Nuevo León,Gobierno del Estado de Nuevo León,30190,6
1613868898897076,Waldo Fernández González,Waldo Fernández González,19318,11
292073374782474,Gobierno de Tlalnepantla de Baz,Municipio de Tlalnepantla,17105,14
449095701815347,Salvador Zamora,Salvador Zamora,15994,9
153947391339205,Manolo Jiménez Salinas,MANOLO JIMENEZ SALINAS,15305,20
186073704903313,México elige,México Elige,14525,30
162949857103721,Gobierno Colima,Gobierno Colima,14405,28
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,12995,6
234934546961166,Escudo Urbano C5 Jalisco,Escudo Urbano C5 Jalisco,12085,4
100557755099985,Convocatorias 2023,Convocatorias 2023,11982,33
104680124489636,Demoscopia Digital,Demoscopia Digital,11901,15
105121875731197,Consumidor Informado Mx,Consumidor Informado Mx,11472,4
285058928236909,Mauricio Vila,Mauricio Vila,10440,33
105097171575007,La LOCAL Mx,La LOCAL Mx,9835,4
493453457351145,Coparmex Nacional,Coparmex Nacional,8953,29
103451872329701,Salvemos Miles de Vidas México,Juan Antonio Loredo Velasco,8838,15
109634395756375,Save the Children México,Save the Children México,8825,16
106620807391911,Roche,These ads ran without a disclaimer,8126,3
68793499001,UNICEF,UNICEF with Facebook Ad Credits,7624,8
56713285274,Greenpeace México,Greenpeace México,7296,18
451767422287273,El Zócalo,El Zócalo,6983,1
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,6307,13
180533315991,Guanajuato Gobierno del Estado,Gobierno del Estado de Guanajuato,6014,10
254852601222832,CEMEX México,CEMEX México,5983,24
178625645626125,Movimiento Ciudadano Nuevo León,Movimiento Ciudadano Nuevo León,5803,7
106159885479677,Las Noticias México,Las Noticias México,5748,2
505132912869455,Instituto Guanajuatense para las Personas con Discapacidad,Ads Project Media,5732,41
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,4936,8
123842270960929,Walmart de México y Centroamérica,Nueva Walmart de México SRL de CV,4628,8
293928193989,UNICEF México,These ads ran without a disclaimer,4306,38
309520537353,Fondo Semillas,Fondo Semillas,4209,33
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano,4044,5
428903227172775,AyuntaMÉRIDA,AyuntaMÉRIDA,3871,5
100186055860121,Proceso,Proceso,3750,4
106680181243008,Haciendo Comunidad · Noticias de México,Haciendo Comunidad,3502,2
182127647235802,Con Morena Sí,Con Morena Si,3498,4
475040405910613,Lenin Perez Rivera,Evaristo Lenin Perez Rivera,3475,1
469246976533189,Santiago Creel,SantiagoCreelM,3409,4
122404620204,Oxfam México,OXFAM MEXICO AC,3214,2
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,3172,5
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez,3102,2
114608845267298,Ciudad Juárez,Municipio de Juárez,3052,5
105267627646562,Zaira Fernandez M,Zaira Fernandez Morales,2991,2
192680674189566,El Respetable,Bruno Agustin López Arguelles,2988,9
259294300089,Gobierno de Zapopan,Gobierno de Zapopan,2615,2
213054628856737,Movimiento Ciudadano Ciudad de México,Movimiento Ciudadano,2615,2
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,2596,2
1511931155769587,Horacio Tijerina,Horacio Tijerina,2568,5
116175691755266,Silvano Aureoles Conejo,Silvano Aureoles Conejo,2551,6
120544204635995,Gobierno de Baja California,Gobierno de Baja California,2445,5
695113350546657,Promoción Ciudad de México,SOME MARKETING,2410,11
208742852603725,Secretaría de la Transparencia y Rendición de Cuentas,Ads Project Media,2402,6
220429278974,Gobierno de Hermosillo,Gobierno de Hermosillo,2384,3
151179508344862,Toño Ixtláhuac,Toño Ixtláhuac,2321,4
923633637651202,Morena Sí,Morena Sí,2280,16
697622430420733,Zurda,Zurda,2266,4
100479802104760,El Faro del Norte,El Faro del Norte,2262,2
245685942538080,VOTA Querétaro,VOTA Querétaro,2215,6
412632615830986,Sasil de León,Los Strategas,2130,11
424354117897066,Noticias En El Punto,Noticias en el Punto,2125,2
1452189031676518,Hyundai México,HYUNDAI MEXICO,2112,2
1327748667304965,Carlos Peña Ortiz,Carlos Peña Ortiz,2100,13
108471668438894,Revolucion San Luis,DEGI,2090,36
640697589424301,Víctor Fuentes Solís,EnRed&Medios,2007,20
458859544909547,DICES,DICES,1993,30
1540267016299241,Gobierno de Atizapán de Zaragoza,Gobierno de Atizapán de Zaragoza,1987,2
822100507825923,Secretaría de Turismo de Baja California,Secretaría de Turismo de Baja California,1959,2
283653271758441,24 Morelos,24 CDMX,1939,8
105643945588845,Contraste Noticias,Contraste Noticias,1880,2
170612978451,Manuel Añorve Baños,Manuel Añorve Baños,1874,13
102341495894882,Gestoría Social Para El Bienestar Región SurEste B2,Luis Felipe Benitez Gomez,1870,1
101090286010719,Gestoría Social Para el Bienestar Baja California Sur,Luis Felipe Benitez Gomez,1834,1
105613505562379,Gestoría Social Para El Bienestar Michoacán,Luis Felipe Benitez Gomez,1817,1
108488778457755,Gestoría Social Para El Bienestar 2,Luis Felipe Benitez Gomez,1812,1
195400400486017,Antena San Luis,Antena San Luis S de RL de CV,1808,4
387796290649,GNP Seguros,GNP Seguros,1745,11
106188791314493,Diario Alebrije,Diario Alebrije,1732,1
100669948503285,Botanero Express,Botanero Express,1712,1
103175174912011,Diario de Café,Diario de Cafe,1691,1
270919281867,Iplaneg,Gobierno del Estado de Guanajuato,1681,8
101683735119994,El Reportero,El Reportero,1671,1
803041666459797,Enrique de la Madrid,Enrique de la Madrid,1647,3
751269661657206,Bayer Crop Science México,Bayer de México S.A de C.V,1620,18
107513668696274,Gestoría Social Para El Bienestar 12,Luis Felipe Benitez Gomez,1541,1
103451872329701,Salvemos Miles de Vidas México,Salvemos Miles de Vidas México,1499,2
105787218926256,Resistencia Obradorista - Lucha y Patria,Resistencia Obradorista - Lucha y Patria,1481,2
279469625434543,Paco Cienfuegos,Paco Cienfuegos,1474,17
110841274807666,Instituto Municipal de la Juventud,Municipio de Tlalnepantla,1462,3
1565664910411960,Paulo Martinez,Paulo Martinez Lopez,1453,1
107569015351640,Gestoría Social Para El Bienestar 7,Luis Felipe Benitez Gomez,1449,1
100215376197287,Guerreros del voto,Guerreros del Voto,1444,5
106068588931889,El Mirador News,El Mirador News,1432,1
156562731088277,"Equidad de Género, Ciudadanía, Trabajo y Familia","Equidad de Género, Ciudadanía, Trabajo y Familia",1432,14
1405902993040704,Noreste Noticias,Noreste Noticias,1396,1
171494803269262,Noticias México,euthenics,1363,16
377671629054421,Polemon,Polemon,1335,2
822022574540865,Frentes Políticos,Los Frentes Políticos,1333,1
105153944962600,El Plural de México,El Plural de México,1304,8
312685741710,H. Ayuntamiento de Puebla,Ayuntamiento de Puebla,1238,7
110187414493874,Plataforma Informativa Mexicana #PIM,euthenics,1235,23
103599355021002,Norma Treviño,Rogelio Jesus Lopez Martinez,1228,7
380095382467990,Sabemos Chihuahua,Sabemos Chihuahua,1173,6
174921316719276,Alcaldía Gustavo A. Madero,Alcaldía Gustavo A. Madero,1172,5
133478060111915,CEMEX Impacto Social,CEMEX Negocio Responsable,1160,9
115501230577691,Libre Ejercicio,Libre Ejercicio,1158,5
182252948625872,Los Rescatadores,"Refleacciona con Responsabilidad, A.C.",1158,7
479751765559726,Manuel Hernández Badillo,Manuel Hernández Badillo,1143,23
449319475244963,Comité Directivo Estatal del PAN Chihuahua,Comité Directivo Estatal del PAN Chihuahua,1137,4
100743759330784,Build Back Ever Better - BBEB,These ads ran without a disclaimer,1135,3
421877377878288,Municipio de Querétaro,Municipio de Querétaro,1124,4
118483566216752,El Olmeca,El Olmeca,1089,3
147751821930575,Salud Digital Fundación Carlos Slim,Fundación Carlos Slim,1081,2
338174139686776,Mauricio Kuri,Mauricio Kuri,1079,10
105848177845789,All Out en español,All Out,1044,30
112806673771498,Andrea Chávez,Andrea Chavez Treviño,1024,8
239726076054918,Partido del Trabajo México,Partido del Trabajo México,1017,4
366058027581738,Comunique Channel,Comuniqué Channel,1015,1
1095948597209125,Grupo Financiero Banorte,Banco Mercantil del Norte,1002,19
105624182802445,NMás,Monserrat García Romero,1000,1
107708095512204,"Abramos los ojos, con Marybel",Daniel Enrique Chimal Ojeda,994,3
101534482461321,VAMOS,Vamos Sonora,993,4
110046841554967,Dirección de Desarrollo Urbano Tlalnepantla,Municipio de Tlalnepantla,992,2
103436538894727,Dirección Jurídica Tlalnepantla,Municipio de Tlalnepantla,985,2
881256821943743,Armando Ayala Robles,COMUNICACIÓN DIGITAL,984,3
605875296741567,Movimiento Ciudadano Campeche Estatal,Azul Consultores,968,10
172262836190214,Julen Rementeria del Puerto,Acción Nacional Veracruz,965,1
115686466472318,WeRoad ES,These ads ran without a disclaimer,961,1
109228437096500,Gabriel García Hernández,Gabriel García Hernandez,947,1
233652128065243,Goberna México,Goberna,947,8
450197489139926,Jalisco Noticias,Sistema Jalisciense de Radio y Televisión,931,15
952701658121166,Juan José Frangie,Juan José Frangie,929,5
306572586738125,H. Ayuntamiento de Manzanillo,H. Ayuntamiento de Manzanillo,928,9
124631600949535,Yo Influyo,Yoxmex,904,31
109234410751644,Hola-Atizapan 0ficial,HOLA ATIZAPAN,899,2
208889643060921,Krishna Romero,Romero Krishna,893,5
648426535772747,24/7,24-7 NoticiasMx,891,3
237316300021978,Erandi Bermúdez,Erandi Bermúdez,882,1
390528021812774,Jorge Luis Llaven Abarca,Jorge Llaven,881,4
106104551569591,Giovani Gutiérrez,GIOVANI GUTIERREZ,880,6
52061777022,Querétaro.Travel,SOME MARKETING,865,10
189131335143204,"Soy Mexicano, Soy Derecho",Soy Mexicano Soy Derecho,853,5
206604539439888,Luis Nava,Luis Nava,848,10
180425288675416,Manuel Rodríguez González,Manuel Rodríguez González,847,3
491924430944463,Rocio Aguilar Tejada,Rocío Aguilar Tejada,847,1
236254476579304,Enrique Vargas Del V.,Enrique Vargas Del V.,844,25
192366194179807,León Municipio,Hot Marketing,834,3
1554649328133923,Gustavo García Bello,Gustavo García Bello,799,3
105343929059924,La Silla Regia,La Silla Regia,794,3
100320139530994,Regio Política,Regio Política,794,3
113138624929264,Alza La Voz,Alza La Voz,793,7
104805888231365,Mexicano,"Editorial Kino, S.A. de C.V.",791,17
633007690102039,Gustavo de Hoyos Walther,Gustavo de Hoyos Walther,784,11
106006482764390,Gobierno del Estado de Sinaloa,Gobierno del Estado de Sinaloa,782,5
251441461671918,Igualdad Animal México,Respeto e Igualdad Animal A.C.,776,19
371264396679789,Juntos Haremos Historia,Maria De La Luz Roque Maldonado,772,3
427137767353498,Clemente Castañeda,Clemente Castañeda H,764,2
2340595106035117,Ismael Brito Mazariegos,Ismael Brito Mazariegos,744,1
139551722754346,Asomarte,SOME CONTENT MARKETING,742,10
101035522790604,Especies Políticas,Especies Políticas,733,3
110039430775865,Apoyo Nacional en el Gobierno Mexicano,Adriana Estrada Micete,719,24
133059550071850,Gobierno de Guadalajara,Gobierno de Guadalajara,719,5
101256961352236,"CEDET ""San Nicolas""",Jona Reyes Caballero,716,1
1553350868260589,Victor Hugo Lozano Poveda,Víctor Hugo Lozano Poveda,709,1
109878531876241,El Futuro de Sonora,El Futuro de Sonora,696,1
109409908221921,Aníbal Cañez,TI Social,693,3
170761873343298,Tecutli Gómez,Tecutli Gomez,681,4
105605635657911,Al día en Monterrey,Al día en Monterrey,680,2
111109218436766,Cambiando Monterrey,Cambiando Monterrey,675,2
100802831514881,Claudia Rodríguez,Christian Alejandro Cervantes Rodriguez,675,2
101843442707929,ASÍ LAS COSAS Salamanca,Así las Cosas Salamanca,673,4
257333027729841,Julieta Ramírez,Julieta Ramirez,670,1
1117222281664997,Gobierno Municipal de Chihuahua,Municipio de Chihuahua,664,8
105624182802445,NMás,Martha Lucia Simone Ramirez,656,1
105922448818613,Mario Peraza,Mario Xavier Peraza Ramírez,639,12
1834107960160586,Marco A. Mendoza Bustamante,Marco Antonio Mendoza Bustamante,637,4
224725504745481,Sí en Querétaro,SOME CONTENT MARKETING,637,10
250059078422159,Kiko Munro,KIKO MUNRO,635,1
322632628342690,Secretaría de Turismo del Estado de Querétaro,SOME MARKETING,635,10
100205828847949,Gabriel Lagunes Jáuregui,Gabriel Eugenio Lagunes Jáuregui,627,1
104423741378022,Ocupa MX,Ocupa MX,626,9
110269138467210,Noti Isla al Momento,Noti Isla al Momento,624,1
105874865657560,Hidalgo con Honestidad,Hidalgo con Honestidad,624,31
111261953657490,Tercera Vía Aguascalientes,Estudio Bocadillo,622,3
806858212689187,Pablo Lemus Navarro,Pablo Lemus Navarro,621,14
106337415222005,Tribuna,Tribuna,619,2
261548570655865,Juan Angel Flores Bustamante,Juan Ángel Flores Bustamante,617,1
112507801521278,VEMO,VEMO,616,19
109854164270687,México Noticias,México Noticias,611,1
163411220385285,PAN Guanajuato,PAN Guanajuato,609,1
110760721436942,El Heraldo,El Heraldo,606,2
106146751535213,El Panteonero de Nuevo León,El Panteonero de Nuevo León,601,2
589484077738887,Jorge Álvarez Máynez,Estudio Bocadillo,600,7
104544534936318,Educación a distancia,Educación a distancia,599,3
164183347562623,Denuncia México,euthenics,596,7
102864378311529,Hoy en México,Hoy En México,593,1
374890996302488,Chucho Nader,Chucho Nader,588,5
893730880832707,CEDET,Jona Reyes Caballero,588,1
114024430364416,YoXmx,Yoxmex,586,13
107656576071553,Central Municipal,Central Municipal,584,1
102273146025921,Fundación Kooltivo,Norberto Eduardo Maldonado Espiritu,577,1
124266067762653,Secretaría de Salud de la Ciudad de México,These ads ran without a disclaimer,577,2
102782229316164,NL Primero,Nuevo León Primero,575,2
107727682047392,XunMexicodeverdad,X UN MÉXICO DE VERDAD,572,9
101461686043880,Centro Certificador de Estudios Especializados.,Abel Ivan Aragon Maldonado,571,2
101128435630238,Química y Formulación,Química y Formulación,566,9
105409857986465,Programas Financieros para el Gobierno Mexicano y Beneficios,Edith Martinez Orta,560,12
101204342089098,Diana Karina Barreras,Diana Karina Barreras,555,2
159970704486664,Focos Mx,"Equidad de Género, Ciudadanía, Trabajo y Familia",555,4
1444189109132895,Rigo Mares,Jr. Mares,554,2
394579937307087,Marybel Villegas Canché,Marybel Villegas Canché,552,4
961693327322564,Miguel Pérez,Miguel Pérez Vásquez,529,5
572887279531469,Román Alberto Cepeda,Román Alberto Cepeda,527,2
102068568784360,La Noticia Media,La Noticia Media,524,1
