Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,499
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,246
Erbil Governorate,523
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,180
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,106
Nineveh Governorate,203
Saladin Governorate,≤100
Sulaymaniyah Governorate,385
Unknown,≤100
Wasit Governorate,≤100
