Location name,Amount spent (PEN)
Amazonas Region,202
Ancash Region,895
Apurímac Region,332
Arequipa Region,1160
Ayacucho Region,530
Cajamarca Region,876
Callao,400
Cusco Region,1066
Huancavelica Region,149
Huánuco Region,486
Ica Region,796
Junín Region,909
La Libertad Region,1356
Lambayeque Region,915
Lima Region,6659
Loreto Region,469
Madre de Dios Region,245
Moquegua Region,186
Pasco Region,150
Piura Region,1244
Puno Region,1192
San Martín Region,657
Tacna Region,377
Tumbes Region,220
Ucayali Region,452
Unknown,≤100
