Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,185
Berane Municipality,≤100
Bijelo Polje Municipality,173
Budva Municipality,132
Danilovgrad Municipality,≤100
Herceg Novi Municipality,142
Kolašin Municipality,≤100
Nikšić Municipality,190
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,107
Plužine Municipality,≤100
Podgorica Capital City,809
Rožaje Municipality,≤100
Tivat Municipality,185
Ulcinj Municipality,188
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
