Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,1297
Cerro Largo Department,108
Colonia Department,162
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,214
Montevideo Department,17690
Paysandú Department,160
Rivera Department,313
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,169
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,104
Treinta y Tres Department,≤100
