Location name,Amount spent (EUR)
Andalusia,2702
Aragón,437
Balearic Islands,501
Cantabria,178
Castilla y Leon,575
Castilla-La Mancha,686
Cataluña,3520
Comunidad Valenciana,1819
Comunidad de Madrid,2860
Extremadura,441
Galicia,657
Islas Canarias,805
La Rioja,≤100
Navarra,144
País Vasco,486
Principality of Asturias,360
Region of Murcia,423
Unknown,≤100
