Location name,Amount spent (USD)
Azuay Province,246
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,297
Cotopaxi Province,113
El Oro Province,545
Esmeraldas Province,260
Galápagos Province,≤100
Guayas Province,2506
Imbabura Province,181
Loja Province,161
Los Ríos Province,499
Manabí Province,696
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,729
Santa Elena Province,163
Santo Domingo de los Tsáchilas Province,282
Sucumbíos Province,≤100
Tungurahua Province,266
Unknown,≤100
Zamora-Chinchipe Province,≤100
