Location name,Amount spent (DKK)
Capital Region of Denmark,42623
Central Denmark Region,22426
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8822
Region of Southern Denmark,19812
Unknown,≤100
Zealand Region,13150
