Location name,Amount spent (CAD)
Alberta,13514
British Columbia,8130
Manitoba,2949
New Brunswick,1414
Newfoundland and Labrador,998
Northwest Territories,214
Nova Scotia,1263
Nunavut,151
Ontario,21649
Prince Edward Island,263
Quebec,10180
Saskatchewan,2081
Unknown,≤100
Yukon,209
