Location name,Amount spent (HUF)
Baranya County,83937
Borsod-Abaúj-Zemplén County,139228
Budapest,589095
Bács-Kiskun County,112994
Békés County,64239
Csongrád County,98339
Fejér County,92135
Győr-Moson-Sopron County,99100
Hajdú-Bihar County,95384
Heves County,150561
Jász-Nagykun-Szolnok County,65686
Komárom-Esztergom County,67653
Nógrád County,48256
Pest County,259285
Somogy County,53629
Szabolcs-Szatmár-Bereg County,118996
Tolna County,43356
Unknown,≤100
Vas County,51125
Veszprém County,68997
Zala County,62913
