Location name,Amount spent (EUR)
Aruba,≤100
"Bonaire, Sint Eustatius and Saba",≤100
Curaçao,≤100
Drenthe,506
Flevoland,379
Friesland,621
Gelderland,1767
Groningen,569
Limburg,950
Noord-Holland,3143
North Brabant,1977
Overijssel,958
Sint Maarten,≤100
Unknown,≤100
Utrecht,1221
Zeeland,287
Zuid-Holland,3692
