Location name,Amount spent (CLP)
Antofagasta Region,102430
Araucanía Region,109305
Arica y Parinacota Region,17903
Atacama Region,22118
Aysén Region,42549
Bío Bío Region,278778
Coquimbo Region,94324
Los Lagos Region,96152
Los Ríos Region,36655
Magallanes y la Antártica Chilena Region,32107
Maule Region,82946
O'Higgins Region,78586
Santiago Metropolitan Region,1175658
Tarapacá Region,27935
Unknown,270
Valparaíso Region,280623
