Location name,Amount spent (THB)
Amnat Charoen,133
Ang Thong,246
Ayutthaya,1998
Bangkok,33043
Bueng Kan,120
Buriram,462
Chachoengsao,2510
Chai Nat,137
Chaiyaphum,293
Chanthaburi,703
Chiang Mai,1315
Chiang Rai,626
Chon Buri,16275
Chumphon,443
Kalasin,284
Kamphaeng Phet,456
Kanchanaburi,628
Khon Kaen,1151
Krabi,395
Lampang,397
Lamphun,189
Loei,211
Lop Buri,275
Mae Hong Son,145
Maha Sarakham,341
Mukdahan,146
Nakhon Nayok,144
Nakhon Pathom,2897
Nakhon Phanom,392
Nakhon Ratchasima,1241
Nakhon Sawan,1231
Nakhon Si Thammarat,2046
Nan,164
Narathiwat,228
Nong Bua Lam Phu,317
Nong Khai,186
Nonthaburi,1418
Pathum Thani,1496
Pattani,305
Phangnga,234
Phatthalung,404
Phayao,340
Phetchabun,297
Phetchaburi,655
Phichit,359
Phitsanulok,3652
Phrae,177
Phuket,5888
Prachin Buri,309
Prachuap Khiri Khan,434
Ranong,141
Ratchaburi,960
Rayong,1212
Roi Et,429
Sa Kaeo,321
Sakon Nakhon,327
Samut Prakan,1961
Samut Sakhon,1413
Samut Songkhram,629
Saraburi,616
Satun,212
Sing Buri,≤100
Sisaket,471
Songkhla,3505
Sukhothai,400
Suphan Buri,597
Surat Thani,12314
Surin,419
Tak,221
Trang,580
Trat,579
Ubon Ratchathani,784
Udon Thani,520
Unknown,≤100
Uthai Thani,194
Uttaradit,199
Yala Province,244
Yasothon,373
