Location name,Amount spent (RON)
Alba County,745
Arad County,1281
Argeș County,1467
Bacău County,1085
Bihor County,1424
Bistrița-Năsăud County,600
Botoșani County,785
Brașov County,1488
Brăila County,611
Bucharest,5373
Buzău County,867
Caraș-Severin County,561
Cluj County,1976
Constanța County,1522
Covasna County,568
Călărași County,651
Dolj County,1261
Dâmbovița County,903
Galați County,1067
Giurgiu County,348
Gorj County,745
Harghita County,915
Hunedoara County,1090
Ialomița County,690
Iași County,2967
Ilfov County,874
Maramureș County,1043
Mehedinți County,476
Mureș County,1517
Neamț County,1127
Olt County,614
Prahova County,1704
Satu Mare County,827
Sibiu County,888
Suceava County,1274
Sălaj County,526
Teleorman County,461
Timiș County,2192
Tulcea County,427
Unknown,≤100
Vaslui County,636
Vrancea County,739
Vâlcea County,1005
