Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,6057,59
311627208673,WWF UK,WWF UK,5025,76
102639461303190,Fair Pay For All,Fair Pay For All,4568,112
10677003998,Shelter,Shelter,3526,321
7715002593,UNICEF UK,Unicef UK,3164,8
9250349228,Greenpeace UK,Greenpeace UK,2951,28
112712550420527,Sumofus UK,SumOfUs,2101,11
799576543492660,The Week Junior,The Week Junior,1867,58
158077247591710,Refuge,Refuge,1605,145
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),1419,27
121936349543,World Vision UK,World Vision UK,1191,21
158077247591710,Refuge,Refuge with Facebook ad credits,1186,35
348366988862054,Oxfam Campaigns,Oxfam Great Britain,1031,6
35671512696,World Animal Protection UK,World Animal Protection UK,925,41
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,914,50
220543443746,International Rescue Committee - UK,International Rescue Committee UK,839,13
18168505158,The Woodland Trust,Woodland Trust,835,69
7527864602,WaterAid UK,WaterAid UK,827,57
1613092172114946,DWP Digital,Department for Work and Pensions,821,4
108951391565231,Help to Heat,Huw John Llewellyn,761,40
124295177616347,Trades Union Congress (TUC),Trades Union Congress (TUC),682,4
13047522725,Crimestoppers,Crimestoppers,678,49
7043497714,Christian Aid,Christian Aid,591,12
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,588,30
166335402260,Scottish Water,Scottish Water,575,21
117476785190,Save the Children UK,Save the Children UK,558,14
54605029793,British Medical Association,British Medical Association,541,2
394936823930287,Age International,Age International,513,14
841894835830532,Electoral Commission UK,Electoral Commission UK,508,15
165099760197787,Welsh Government,Welsh Government,507,157
59367068326,The Ramblers,The Ramblers,485,11
159100234275780,UK Government Scotland,Office of the Secretary of State for Scotland,472,3
105325515394672,Local Recovery,Local Recovery,443,12
514212165305248,Leigh Day,Leigh Day,435,25
106946654868342,Water's Worth Saving,Water UK,435,89
698773137204706,Give My View,Built-ID,430,6
