Location name,Amount spent (CZK)
Central Bohemian Region,10802
Hradec Králové Region,4483
Karlovy Vary Region,2139
Liberec Region,3592
Moravian-Silesian Region,9004
Olomouc Region,4581
Pardubice Region,3825
Plzeň Region,4608
Prague,20589
South Bohemian Region,4767
South Moravian Region,11451
Unknown,≤100
Vysočina Region,3701
Zlín Region,4060
Ústí nad Labem Region,7051
