Location name,Amount spent (PEN)
Amazonas Region,106
Ancash Region,386
Apurímac Region,137
Arequipa Region,546
Ayacucho Region,255
Cajamarca Region,390
Callao,157
Cusco Region,549
Huancavelica Region,≤100
Huánuco Region,220
Ica Region,336
Junín Region,411
La Libertad Region,668
Lambayeque Region,349
Lima Region,3070
Loreto Region,370
Madre de Dios Region,103
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,512
Puno Region,475
San Martín Region,295
Tacna Region,154
Tumbes Region,≤100
Ucayali Region,206
Unknown,≤100
