Location name,Amount spent (EUR)
Carlow,≤100
Cavan,≤100
County Clare,124
County Cork,556
County Laois,≤100
County Leitrim,≤100
County Longford,≤100
County Louth,221
County Mayo,126
County Meath,190
County Monaghan,≤100
County Offaly,≤100
County Tipperary,159
County Westmeath,≤100
Donegal,182
Dublin,2127
Galway,320
Kerry,175
Kildare,240
Kilkenny,≤100
Limerick,226
Roscommon,≤100
Sligo,≤100
Unknown,≤100
Waterford,131
Wexford,164
Wicklow,177
