Location name,Amount spent (RON)
Alba County,619
Arad County,777
Argeș County,941
Bacău County,948
Bihor County,1015
Bistrița-Năsăud County,507
Botoșani County,590
Brașov County,1468
Brăila County,523
Bucharest,5694
Buzău County,760
Caraș-Severin County,447
Cluj County,1846
Constanța County,1470
Covasna County,443
Călărași County,503
Dolj County,891
Dâmbovița County,780
Galați County,871
Giurgiu County,295
Gorj County,622
Harghita County,578
Hunedoara County,792
Ialomița County,362
Iași County,1637
Ilfov County,970
Maramureș County,805
Mehedinți County,335
Mureș County,1050
Neamț County,753
Olt County,446
Prahova County,1456
Satu Mare County,621
Sibiu County,766
Suceava County,1520
Sălaj County,350
Teleorman County,404
Timiș County,1544
Tulcea County,305
Unknown,≤100
Vaslui County,511
Vrancea County,679
Vâlcea County,495
