Location name,Amount spent (TRY)
Adana Province,2161
Adıyaman Province,169
Afyonkarahisar Province,351
Aksaray Province,293
Amasya Province,150
Ankara Province,4597
Antalya Province,2652
Ardahan Province,≤100
Artvin Province,102
Aydın Province,816
Ağrı Province,≤100
Balıkesir Province,831
Bartın Province,110
Batman Province,204
Bayburt Province,≤100
Bilecik Province,123
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,182
Burdur Province,183
Bursa Province,2095
Denizli Province,702
Diyarbakır Province,428
Düzce Province,226
Edirne Province,225
Elazığ Province,207
Erzincan Province,132
Erzurum Province,222
Eskişehir Province,786
Gaziantep Province,1095
Giresun Province,241
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,864
Isparta Province,297
Istanbul Province,22661
Iğdır Province,≤100
Kahramanmaraş Province,453
Karabük Province,137
Karaman Province,151
Kars Province,≤100
Kastamonu Province,367
Kayseri Province,671
Kilis Province,≤100
Kocaeli Province,994
Konya Province,1139
Kütahya Province,274
Kırklareli Province,527
Kırıkkale Province,129
Kırşehir Province,111
Malatya Province,259
Manisa Province,785
Mardin Province,245
Mersin Province,1031
Muğla Province,771
Muş Province,≤100
Nevşehir Province,139
Niğde Province,186
Ordu Province,397
Osmaniye Province,251
Rize Province,178
Sakarya Province,406
Samsun Province,1180
Siirt Province,≤100
Sinop Province,118
Sivas Province,241
Tekirdağ Province,1251
Tokat Province,229
Trabzon Province,413
Tunceli Province,≤100
Unknown,≤100
Uşak Province,230
Van Province,248
Yalova Province,167
Yozgat Province,140
Zonguldak Province,304
Çanakkale Province,628
Çankırı Province,≤100
Çorum Province,239
İzmir Province,3585
Şanlıurfa Province,609
Şırnak Province,122
