Location name,Amount spent (UYU)
Artigas Department,108
Canelones Department,213
Cerro Largo Department,≤100
Colonia Department,1151
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,151
Montevideo Department,786
Paysandú Department,1950
Rivera Department,669
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,275
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
