Location name,Amount spent (EUR)
Alsace,775
Aquitaine,1493
Auvergne,496
Basse-Normandie,476
Bourgogne,533
Bretagne,1191
Centre,799
Champagne-Ardenne,456
Corse,145
Franche-Comté,383
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,655
Languedoc-Roussillon,1320
Limousin,230
Lorraine,868
Martinique,108
Mayotte,≤100
Midi-Pyrénées,1252
New Caledonia,≤100
Nord-Pas-de-Calais,1613
Pays de la Loire,1355
Picardie,692
Poitou-Charentes,624
Provence-Alpes-Côte d'Azur,3179
Reunion Island,208
Rhône-Alpes,2699
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,6575
