Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,458
Apurímac Region,≤100
Arequipa Region,509
Ayacucho Region,182
Cajamarca Region,352
Callao,345
Cusco Region,364
Huancavelica Region,≤100
Huánuco Region,195
Ica Region,472
Junín Region,362
La Libertad Region,808
Lambayeque Region,534
Lima Region,4398
Loreto Region,416
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,801
Puno Region,319
San Martín Region,297
Tacna Region,143
Tumbes Region,125
Ucayali Region,273
Unknown,≤100
