Location name,Amount spent (SEK)
Blekinge County,3359
Dalarna County,6658
Gotland County,1937
Gävleborg County,6530
Halland County,7012
Jämtland County,3208
Jönköping County,7929
Kalmar County,5621
Kronoberg County,3936
Norrbotten County,5319
Skåne County,29754
Stockholm County,59405
Södermanland County,6842
Unknown,≤100
Uppsala County,9079
Värmland County,6628
Västerbotten County,5838
Västernorrland County,5299
Västmanland County,6025
Västra Götaland County,43208
Örebro County,7021
Östergötland County,9847
