Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
140457539356382,Gabinete Social Presidencia de la República del Paraguay,Gabinete Social Presidencia de la República del Paraguay,137581,11
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,135271,11
242259253120490,Igualdad de Genero SÍ,Igualdad de Genero SÍ,120927,3
1150055398455917,C9N Paraguay,C9N Paraguay,99348,1
272098156231873,Diario HOY Paraguay,Diario HOY Paraguay,94135,3
184860595385745,Ing. Roberto Jiménez - Concejal,Roberto Fernando Jimenez Ayala,89494,3
594511160567719,UNFPA Paraguay,Livia Mburucuya Melgarejo Ososrio,59318,2
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,53624,1
613341488786700,Miguel Del Puerto,Miguel Angel Del Puerto Silva,47757,3
137071910500968,Alvaro Grau,Oscar David Baez Alvarenga,43447,2
111266434697216,Edgar Torres Argüello,Jose Dolores Zarate Gonzalez,41360,1
108246601026063,Diputado Derlis Rodríguez,Derlis Manuel Rodríguez Baez,37823,1
107106825374681,Jesús Guapi,Jesús Fernando Guapi Narvaez,32812,1
613444678793192,Josías Escobar,These ads ran without a disclaimer,31872,1
123892278310235,Eduardo Valiente,Eduardo Valiente,31068,1
359307964420456,Terere Cómplice,Centro Interdisciplinario de Investigación Social,29767,2
116747321316881,Javier Ferreira,Javier Ferreira,27028,1
109712291986986,LIFE GREEN BR,Life Green CBD S.A.,26447,7
270180246326694,Nestor Hugo Valenzuela Portillo,Nestor Hugo Valenzuela Portillo,17923,1
258712438172291,Santiago Aguilera,Martin Ricardo Stachon,12610,1
105970068168990,Cristian Ortiz,Cristian Ramon Ortiz,9225,1
102804492578710,Legalmente Hablando,Nueva Tecno,9025,1
101694278594292,Nelson Cano,Eric Fabian Benitez,6911,3
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,6107,1
876472822508954,Ahoracde,Portal Digital de Noticias AHORACDE,5412,1
364813900395917,Adilio Lezcano,Adilio Lezcano,2661,1
237898026337131,Impacto Caaguazú- Digital.,impactocaaguazu,2333,1
110350770626164,Joel Castillo Comunica,These ads ran without a disclaimer,879,1
113884784953956,valentinonarraciones,These ads ran without a disclaimer,575,1
103621869176207,Angela Romero - La Revolución del Amor,These ads ran without a disclaimer,418,1
112338611784279,Private Tool,These ads ran without a disclaimer,≤100,1
105311938353424,Trading Legend รวยรวยรวย - 37Games,These ads ran without a disclaimer,≤100,1
106326665675559,Star Gather,These ads ran without a disclaimer,≤100,1
102863425976057,Clinton Best,These ads ran without a disclaimer,≤100,1
108148958352704,Travelers Spot,These ads ran without a disclaimer,≤100,1
108091988358295,Travels All Abroad,These ads ran without a disclaimer,≤100,1
