Location name,Amount spent (INR)
Andaman and Nicobar Islands,256
Andhra Pradesh,118122
Arunachal Pradesh,3729
Assam,32159
Bihar,61169
Chandigarh,2042
Chhattisgarh,16383
Dadra and Nagar Haveli,1267
Delhi,62326
Goa,2784
Gujarat,43173
Haryana,49568
Himachal Pradesh,11460
Jammu and Kashmir,13517
Jharkhand,15221
Karnataka,202568
Kerala,14972
Lakshadweep,≤100
Madhya Pradesh,67517
Maharashtra,152491
Manipur,1974
Meghalaya,176682
Mizoram,731
Nagaland,64266
Odisha,13740
Puducherry,2916
Punjab region,24981
Rajasthan,99911
Sikkim,746
Tamil Nadu,45388
Telangana,87334
Tripura,239338
Unknown,≤100
Uttar Pradesh,112910
Uttarakhand,12688
West Bengal,66376
