Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,28362,31
126567104406,Hyresgästföreningen,Hyresgästföreningen,26996,42
608975645850217,Vattenfall,Vattenfall Sverige,23132,13
111630258867610,Röda Korset,Röda Korset,12331,22
382243262003,Plan International Sverige,Plan International Sverige,9949,15
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),7452,35
369582590803,Dagens ETC,ETC-tidningarna,7089,30
114262485262083,Konsumentverket,Konsumentverket,6698,7
19746853632,Djurens Rätt,Djurens Rätt,4723,3
72659261793,Rädda Barnen,Rädda Barnen,4709,78
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,4678,32
162985227114132,Skellefteå Kraft,Skellefteå Kraft,4495,6
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,4493,4
59324455950,UNICEF Sverige,UNICEF Sverige,4476,19
95735961890,Greenpeace Sverige,Greenpeace Sverige,4411,101
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,3575,23
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,3097,13
101341883359561,Matsmart Sverige,Matsmart,3076,2
186513678039755,Fortum,Fortum Sverige,3074,17
42676805259,Diakonia,Diakonia,3020,30
643137272398136,Sverige för UNHCR,Sverige för UNHCR,2486,13
111699453757094,Soft Towel Games,These ads ran without a disclaimer,2436,3
175656912484553,Unionen,Unionen,2232,29
18880778360,ActionAid Sweden,ActionAid Sweden,2149,8
2337692372925538,Reformisterna,Reformisterna,1859,2
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,1821,33
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1711,6
195379633820701,Svenskt Kött,Svenskt Kött,1497,12
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1490,8
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",1472,3
153386171353294,LRF Västra Sverige,LRF Västra Sverige,1418,2
614939535271869,Tobias Baudin,Socialdemokraterna,1410,6
185459445735,Umeå universitet,Umeå universitet,1236,23
102603159402551,Inner Connections,Kulturhuset i Ytterjärna AB,1204,4
110752522319286,Volontärbyrån,Volontärbyrån,1198,3
8040892957,Socialdemokraterna,Socialdemokraterna,1195,8
161213770567846,Operation Smile Sverige,Operation Smile Sverige,1188,1
314872662206,Ekonomifakta,Ekonomifakta,1110,65
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,1084,26
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,1059,36
98623096089,Lantmännen,Lantmännen,1004,2
