Location name,Amount spent (USD)
Azuay Province,2613
Bolívar Province,317
Carchi Province,300
Cañar Province,662
Chimborazo Province,1359
Cotopaxi Province,787
El Oro Province,2977
Esmeraldas Province,1031
Galápagos Province,104
Guayas Province,8829
Imbabura Province,1159
Loja Province,912
Los Ríos Province,2015
Manabí Province,4399
Morona-Santiago Province,296
Napo Province,211
Orellana Province,319
Pastaza Province,392
Pichincha Province,6031
Santa Elena Province,764
Santo Domingo de los Tsáchilas Province,2171
Sucumbíos Province,477
Tungurahua Province,1329
Unknown,≤100
Zamora-Chinchipe Province,184
