Location name,Amount spent (TRY)
Adana Province,775
Adıyaman Province,≤100
Afyonkarahisar Province,776
Aksaray Province,706
Amasya Province,≤100
Ankara Province,1400
Antalya Province,918
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,383
Ağrı Province,≤100
Balıkesir Province,214
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,771
Denizli Province,306
Diyarbakır Province,147
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,447
Gaziantep Province,423
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,358
Isparta Province,138
Istanbul Province,19301
Iğdır Province,≤100
Kahramanmaraş Province,165
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,232
Kilis Province,≤100
Kocaeli Province,261
Konya Province,456
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,113
Manisa Province,237
Mardin Province,≤100
Mersin Province,416
Muğla Province,768
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,158
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,247
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,165
Tokat Province,≤100
Trabzon Province,131
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,≤100
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,2338
Şanlıurfa Province,216
Şırnak Province,≤100
