Location name,Amount spent (IDR)
Aceh,655273
Bali,2286709
Bangka–Belitung Islands,306320
Banten,2440110
Bengkulu,493405
Central Java,9070307
Central Kalimantan,805568
Central Sulawesi,693885
East Java,10095251
East Kalimantan,1346342
East Nusa Tenggara,1385199
Gorontalo,454570
Jakarta,5298499
Jambi,598218
Lampung,2171749
Maluku,405931
North Kalimantan,215859
North Maluku,341879
North Sulawesi,1657902
North Sumatra,4933544
Papua (province),816407
Riau,2576297
Riau Islands Province,729320
South Kalimantan,559303
South Sulawesi,2406720
South Sumatra,2077733
Southeast Sulawesi,608554
Special Region of Yogyakarta,1800041
Unknown,2322
West Java,8200597
West Kalimantan,1423668
West Nusa Tenggara,1959189
West Papua,328604
West Sulawesi,323471
West Sumatra,1075544
