Location name,Amount spent (ARS)
Buenos Aires,3076587
Catamarca,34513
Chaco,59752
Chubut,225909
Ciudad Autónoma de Buenos Aires,659552
Corrientes,45682
Córdoba,4627731
Entre Rios,336526
Formosa,369784
Jujuy,42190
La Pampa,58837
La Rioja,13575
Mendoza,49466
Misiones,43483
Neuquén,41585
Río Negro,40198
Salta,75594
San Juan,550771
San Luis,34786
Santa Cruz,45801
Santa Fe,2582049
Santiago del Estero,22095
Tierra del Fuego,15863
Tucuman,49654
Unknown,≤100
