Location name,Amount spent (CZK)
Central Bohemian Region,19030
Hradec Králové Region,8415
Karlovy Vary Region,4573
Liberec Region,6994
Moravian-Silesian Region,16274
Olomouc Region,8822
Pardubice Region,8141
Plzeň Region,9270
Prague,37394
South Bohemian Region,9243
South Moravian Region,21074
Unknown,≤100
Vysočina Region,6850
Zlín Region,7919
Ústí nad Labem Region,12179
