Location name,Amount spent (THB)
Amnat Charoen,119
Ang Thong,≤100
Ayutthaya,438
Bangkok,8236
Bueng Kan,148
Buriram,452
Chachoengsao,351
Chai Nat,109
Chaiyaphum,329
Chanthaburi,225
Chiang Mai,1559
Chiang Rai,542
Chon Buri,1151
Chumphon,239
Kalasin,335
Kamphaeng Phet,585
Kanchanaburi,312
Khon Kaen,801
Krabi,239
Lampang,390
Lamphun,184
Loei,248
Lop Buri,297
Mae Hong Son,116
Maha Sarakham,421
Mukdahan,129
Nakhon Nayok,≤100
Nakhon Pathom,331
Nakhon Phanom,238
Nakhon Ratchasima,1087
Nakhon Sawan,668
Nakhon Si Thammarat,673
Nan,195
Narathiwat,305
Nong Bua Lam Phu,204
Nong Khai,201
Nonthaburi,676
Pathum Thani,535
Pattani,442
Phangnga,145
Phatthalung,500
Phayao,225
Phetchabun,306
Phetchaburi,190
Phichit,177
Phitsanulok,861
Phrae,184
Phuket,371
Prachin Buri,368
Prachuap Khiri Khan,237
Ranong,106
Ratchaburi,378
Rayong,701
Roi Et,416
Sa Kaeo,216
Sakon Nakhon,754
Samut Prakan,356
Samut Sakhon,361
Samut Songkhram,≤100
Saraburi,354
Satun,193
Sing Buri,111
Sisaket,448
Songkhla,3834
Sukhothai,252
Suphan Buri,334
Surat Thani,582
Surin,462
Tak,267
Trang,257
Trat,≤100
Ubon Ratchathani,761
Udon Thani,691
Unknown,≤100
Uthai Thani,118
Uttaradit,174
Yala Province,332
Yasothon,175
