Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,205
Apurímac Region,≤100
Arequipa Region,271
Ayacucho Region,129
Cajamarca Region,225
Callao,≤100
Cusco Region,266
Huancavelica Region,≤100
Huánuco Region,113
Ica Region,292
Junín Region,211
La Libertad Region,320
Lambayeque Region,247
Lima Region,1831
Loreto Region,136
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,331
Puno Region,263
San Martín Region,168
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,108
Unknown,≤100
