Location name,Amount spent (EGP)
Al Sharqia Governorate,1623
Alexandria Governorate,853
Aswan Governorate,128
Asyut Governorate,301
Beheira Governorate,508
Beni Suef Governorate,174
Cairo Governorate,2383
Dakahlia Governorate,1070
Damietta Governorate,218
Faiyum Governorate,788
Gharbia Governorate,533
Giza Governorate,863
Ismailia Governorate,137
Kafr el-Sheikh Governorate,508
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,349
Monufia Governorate,393
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,201
Qalyubia Governorate,578
Qena Governorate,211
Red Sea Governorate,≤100
Sohag Governorate,316
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
