Location name,Amount spent (COP)
Amazonas,2740
Antioquia,9051726
Arauca,118451
Atlantico,1084354
Bolivar,513884
Boyaca,2150348
Caldas,893631
Caqueta,309425
Casanare,415222
Cauca,468006
Cesar,356833
Choco,61860
Cordoba,594632
Cundinamarca,977374
Distrito Especial,5726809
Guainia,1387
Guaviare,30640
Huila,894450
La Guajira,100106
Magdalena,233173
Meta,759654
Narino,210984
Norte de Santander,2259344
Putumayo,456568
Quindio,191836
Risaralda,2193734
San Andres y Providencia,19582
Santander,1810337
Sucre,517143
Tolima,878157
Unknown,1115
Valle del Cauca,4506515
Vaupes,646
Vichada,1421
