Location name,Amount spent (JPY)
Aichi Prefecture,23494
Akita Prefecture,1411
Aomori Prefecture,2135
Chiba Prefecture,19384
Ehime Prefecture,3844
Fukui Prefecture,3440
Fukuoka Prefecture,47693
Fukushima Prefecture,3825
Gifu Prefecture,5025
Gunma Prefecture,4706
Hiroshima Prefecture,14585
Hokkaido,15249
Hyōgo Prefecture,17366
Ibaraki Prefecture,6835
Ishikawa Prefecture,3019
Iwate Prefecture,2956
Kagawa Prefecture,2416
Kagoshima Prefecture,3153
Kanagawa Prefecture,41386
Kumamoto Prefecture,6186
Kyoto Prefecture,10709
Kōchi Prefecture,1481
Mie Prefecture,7274
Miyagi Prefecture,11172
Miyazaki Prefecture,2578
Nagano Prefecture,5147
Nagasaki Prefecture,3791
Nara Prefecture,3519
Niigata Prefecture,4491
Okayama Prefecture,4373
Okinawa Prefecture,5418
Osaka Prefecture,48402
Saga Prefecture,3321
Saitama Prefecture,17421
Shiga Prefecture,4668
Shimane Prefecture,1025
Shizuoka Prefecture,9114
Tochigi Prefecture,6481
Tokushima Prefecture,1810
Tokyo,67047
Tottori Prefecture,1296
Toyama Prefecture,3403
Unknown,≤100
Wakayama Prefecture,2913
Yamagata Prefecture,2620
Yamaguchi Prefecture,3563
Yamanashi Prefecture,3024
Ōita Prefecture,3783
