Location name,Amount spent (RON)
Alba County,569
Arad County,748
Argeș County,896
Bacău County,968
Bihor County,781
Bistrița-Năsăud County,467
Botoșani County,694
Brașov County,922
Brăila County,431
Bucharest,4598
Buzău County,571
Caraș-Severin County,505
Cluj County,1584
Constanța County,1105
Covasna County,271
Călărași County,388
Dolj County,811
Dâmbovița County,750
Galați County,748
Giurgiu County,320
Gorj County,472
Harghita County,449
Hunedoara County,750
Ialomița County,321
Iași County,1354
Ilfov County,730
Maramureș County,786
Mehedinți County,338
Mureș County,830
Neamț County,964
Olt County,431
Prahova County,1215
Satu Mare County,449
Sibiu County,588
Suceava County,1482
Sălaj County,318
Teleorman County,410
Timiș County,1302
Tulcea County,268
Unknown,≤100
Vaslui County,564
Vrancea County,518
Vâlcea County,639
