Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,171
Apurímac Region,≤100
Arequipa Region,186
Ayacucho Region,≤100
Cajamarca Region,154
Callao,381
Cusco Region,127
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,229
Junín Region,155
La Libertad Region,317
Lambayeque Region,217
Lima Region,1499
Loreto Region,258
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,406
Puno Region,144
San Martín Region,137
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
