Location name,Amount spent (RON)
Alba County,405
Arad County,558
Argeș County,678
Bacău County,650
Bihor County,620
Bistrița-Năsăud County,345
Botoșani County,455
Brașov County,709
Brăila County,389
Bucharest,3382
Buzău County,509
Caraș-Severin County,281
Cluj County,1163
Constanța County,858
Covasna County,227
Călărași County,278
Dolj County,969
Dâmbovița County,415
Galați County,736
Giurgiu County,287
Gorj County,458
Harghita County,425
Hunedoara County,430
Ialomița County,274
Iași County,960
Ilfov County,382
Maramureș County,694
Mehedinți County,310
Mureș County,731
Neamț County,508
Olt County,366
Prahova County,781
Satu Mare County,460
Sibiu County,525
Suceava County,693
Sălaj County,296
Teleorman County,282
Timiș County,799
Tulcea County,256
Unknown,≤100
Vaslui County,345
Vrancea County,388
Vâlcea County,380
