Location name,Amount spent (VND)
An Giang Province,5237
Bà Rịa–Vũng Tàu Province,88321
Bình Dương Province,130830
Bình Phước Province,43305
Bình Thuận Province,25415
Bình Định Province,118799
Bạc Liêu Province,3761
Bắc Giang Province,183860
Bắc Kạn Province,36005
Bắc Ninh Province,120344
Bến Tre Province,14764
Cao Bằng Province,55786
Cà Mau Province,3662
Cần Thơ,8865
Da Nang,80279
Gia Lai Province,79848
Haiphong,188620
Ho Chi Minh City,969919
Hà Giang Province,50876
Hà Nam Province,55278
Hà Tĩnh Province,145249
Hòa Bình Province,106618
Hưng Yên Province,80995
Hải Dương Province,226791
Hậu Giang Province,1391
Khánh Hòa Province,57332
Kiên Giang Province,41127
Kon Tum Province,26029
Lai Châu Province,924
Long An Province,16315
Lào Cai Province,40615
Lâm Đồng Province,77828
Lạng Sơn Province,76943
Nam Định Province,118275
Nghệ An Province,412608
Ninh Bình Province,49940
Ninh Thuận Province,4508
Phú Thọ Province,209535
Phú Yên Province,23464
Quảng Bình Province,104793
Quảng Nam Province,54959
Quảng Ngãi Province,26294
Quảng Ninh Province,152428
Quảng Trị Province,42725
Sóc Trăng Province,9931
Sơn La Province,79218
Thanh Hóa Province,285658
Thái Bình Province,202966
Thái Nguyên Province,226906
Thừa Thiên–Huế Province,84953
Tiền Giang Province,27031
Trà Vinh Province,5667
Tuyên Quang Province,116806
Tây Ninh Province,4386
Vĩnh Long Province,1732
Vĩnh Phúc Province,137136
Yên Bái Province,104625
Điện Biên Province,28942
Đắk Lắk Province,85265
Đắk Nông Province,42027
Đồng Nai Province,138036
Đồng Tháp Province,29856
