Location name,Amount spent (HUF)
Baranya County,186799
Borsod-Abaúj-Zemplén County,282914
Budapest,1045057
Bács-Kiskun County,221216
Békés County,151920
Csongrád County,209511
Fejér County,218803
Győr-Moson-Sopron County,210108
Hajdú-Bihar County,233824
Heves County,149018
Jász-Nagykun-Szolnok County,171415
Komárom-Esztergom County,146020
Nógrád County,79466
Pest County,544463
Somogy County,128131
Szabolcs-Szatmár-Bereg County,223964
Tolna County,102221
Unknown,≤100
Vas County,130837
Veszprém County,158078
Zala County,129114
