Location name,Amount spent (THB)
Amnat Charoen,176
Ang Thong,169
Ayutthaya,783
Bangkok,36369
Bueng Kan,197
Buriram,736
Chachoengsao,579
Chai Nat,204
Chaiyaphum,583
Chanthaburi,375
Chiang Mai,3099
Chiang Rai,1470
Chon Buri,10567
Chumphon,1849
Kalasin,437
Kamphaeng Phet,1416
Kanchanaburi,557
Khon Kaen,1514
Krabi,1013
Lampang,773
Lamphun,333
Loei,331
Lop Buri,464
Mae Hong Son,147
Maha Sarakham,569
Mukdahan,292
Nakhon Nayok,141
Nakhon Pathom,1452
Nakhon Phanom,1330
Nakhon Ratchasima,3395
Nakhon Sawan,585
Nakhon Si Thammarat,3053
Nan,232
Narathiwat,321
Nong Bua Lam Phu,234
Nong Khai,297
Nonthaburi,1692
Pathum Thani,2383
Pattani,423
Phangnga,320
Phatthalung,617
Phayao,797
Phetchabun,380
Phetchaburi,616
Phichit,512
Phitsanulok,3340
Phrae,262
Phuket,1345
Prachin Buri,340
Prachuap Khiri Khan,643
Ranong,339
Ratchaburi,1099
Rayong,826
Roi Et,582
Sa Kaeo,274
Sakon Nakhon,927
Samut Prakan,2821
Samut Sakhon,4248
Samut Songkhram,127
Saraburi,818
Satun,237
Sing Buri,130
Sisaket,612
Songkhla,2708
Sukhothai,504
Suphan Buri,453
Surat Thani,11969
Surin,663
Tak,291
Trang,1964
Trat,332
Ubon Ratchathani,1052
Udon Thani,799
Unknown,≤100
Uthai Thani,177
Uttaradit,254
Yala Province,369
Yasothon,364
