Location name,Amount spent (COP)
Amazonas,1189
Antioquia,3786430
Arauca,33506
Atlantico,911726
Bolivar,186119
Boyaca,88747
Caldas,390210
Caqueta,56903
Casanare,200081
Cauca,238630
Cesar,71216
Choco,16037
Cordoba,169840
Cundinamarca,540591
Distrito Especial,1636708
Guainia,557
Guaviare,36306
Huila,1734900
La Guajira,32731
Magdalena,405876
Meta,373920
Narino,55708
Norte de Santander,451932
Putumayo,72872
Quindio,114832
Risaralda,954479
San Andres y Providencia,4042
Santander,434764
Sucre,104673
Tolima,424785
Unknown,298
Valle del Cauca,3056338
Vaupes,268
Vichada,519
