Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
1548643738480723,Asistencia Deudores,Asistencia Deudores,159830,10
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,154764,9
105798328215264,Asistencia Familia,Asistencia Familia,80175,2
580663538777736,Consejo Minero,Feedback Comunicaciones,77775,4
285417644878678,Red Antofagasta,Diarios en Red,67830,7
351583768232100,Red Tarapaca,Diarios en Red,67830,7
307330256067716,Red Atacama,Diarios en Red,67756,7
371453409556353,Red Coquimbo,Diarios en Red,67003,7
78239901502,Diario Financiero,Grupo DF,61262,13
761606963919174,Somos Aclara,Somos Aclara,49486,5
386634201382499,Marco Enriquez-Ominami,Marco Antonio Enríquez-Ominami Gumucio,40933,2
112089607203762,Consejo del Salmón,Consejo del Salmón,38051,11
247284741960102,Corporación Humanas,HUMANAS with Facebook ads credits,35331,1
103527991214141,Cero DICOM,Cero Dicom,34109,8
143360859486032,Alejandro Bernales Maldonado,Alejandro Bernales Maldonado,32981,1
756450494522524,Andrés Jouannet Diputado,Andrés Alfonso Jouannet Valderrama,29779,3
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,29393,1
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,25522,1
26929188652,El Observatodo,MiVoz.cl,23477,46
130550720303550,DuocUC,Duoc UC,19853,1
930597163645465,Muni Colina,Muni Colina,19558,1
184559421980613,Vlado Mirosevic Diputado,Vlado Mirosevic Verdugo,19026,2
103030962615298,Chile YAAC,Chile YAAC,18168,6
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,16544,2
1445910269057442,Desarrolla Biobío,Roberto Rolando Moreno Arenas,16492,1
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,15090,9
102422525535808,FARMACIAS PUNTO BLANCO,Ranko Frane Lenac Pizarro,12438,3
144545426101959,SantanderX,These ads ran without a disclaimer,11399,1
855311658006240,Jorge Díaz Ibarra,Jorge Elias Gregorio Diaz Ibarra,10834,1
1436530563295625,El Líbero,Sociedad Periodística El Líbero S.A,9492,1
100447419569628,Demócratas Chile,Demócratas,9372,6
194708347256755,Puranoticia.cl,Puranoticia.cl,9365,1
104684192398328,Francisco Corral Macías,Gerard Henri Joffre Pavez,8849,5
558224964238853,Anglo American,Anglo American,8494,1
184169995325116,Gerardo Rojas Escudero,Gerardo Rojas Escudero,8158,1
111323908481002,Comando de voz,Mario Andrés Vilches Alcaíno,8071,1
600661340080888,Municipalidad de Salamanca,Municipalidad de Salamanca,7686,3
145925692108470,Educación Continua UC Temuco,UNIVERSIDAD CATÓLICA DE TEMUCO,6111,3
1101427233255754,Christopher White,Christopher White Bahamondes,5981,3
110309894432662,Gerald Castillo - Concejal Ovalle,Héctor Rene Baeza Olivares,5412,1
113540781539326,Workmed,Workmed,4998,5
105216102185508,Cvr_abogados,Cvr_abogados,4980,1
214215822426016,Punto Prensa,Punto Prensa SPA,4427,1
