Location name,Amount spent (PLN)
Greater Poland Voivodeship,5455
Kuyavian-Pomeranian Voivodeship,2542
Lesser Poland Voivodeship,4026
Lower Silesian Voivodeship,3287
Lublin Voivodeship,2174
Lubusz Voivodeship,922
Masovian Voivodeship,7478
Opole Voivodeship,882
Podkarpackie Voivodeship,1604
Podlaskie Voivodeship,1175
Pomeranian Voivodeship,2711
Silesian Voivodeship,4230
Unknown,≤100
Warmian-Masurian Voivodeship,1289
West Pomeranian Voivodeship,1938
Łódź Voivodeship,3175
Świętokrzyskie Voivodeship,960
