Location name,Amount spent (INR)
Andaman and Nicobar Islands,172
Andhra Pradesh,111014
Arunachal Pradesh,562
Assam,26599
Bihar,85433
Chandigarh,1812
Chhattisgarh,24163
Dadra and Nagar Haveli,549
Delhi,45973
Goa,1590
Gujarat,40754
Haryana,35600
Himachal Pradesh,11291
Jammu and Kashmir,7618
Jharkhand,18136
Karnataka,164708
Kerala,10176
Lakshadweep,≤100
Madhya Pradesh,63270
Maharashtra,141743
Manipur,3039
Meghalaya,372308
Mizoram,457
Nagaland,111943
Odisha,10865
Puducherry,857
Punjab region,27124
Rajasthan,104816
Sikkim,546
Tamil Nadu,29850
Telangana,65796
Tripura,1973
Unknown,≤100
Uttar Pradesh,89250
Uttarakhand,8660
West Bengal,32867
