Location name,Amount spent (PEN)
Amazonas Region,108
Ancash Region,464
Apurímac Region,147
Arequipa Region,561
Ayacucho Region,255
Cajamarca Region,467
Callao,285
Cusco Region,490
Huancavelica Region,≤100
Huánuco Region,234
Ica Region,422
Junín Region,439
La Libertad Region,852
Lambayeque Region,503
Lima Region,3428
Loreto Region,348
Madre de Dios Region,111
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,726
Puno Region,529
San Martín Region,341
Tacna Region,158
Tumbes Region,117
Ucayali Region,236
Unknown,≤100
